country,country_code,electricity,forest_area,land_area,gross_domentic_savings,labor_force,trade,gdp,population_growth,population,internet_use
Afghanistan,AFG,23,2.067824648,652860,-33.76417609,8607338,99.22299408,6209140044,3.682731797,25654277,1.224148084
Albania,ALB,100,28.55474542,27400,12.02330681,1281634,70.87232827,8052075642,-0.511790116,3011487,6.043890864
Algeria,DZA,NA,0.644906665,2381740,54.7882002,9984928,71.2785976,1.03198E+11,1.389900523,33149724,5.843942092
American Samoa,ASM,NA,89.3999958,200,NA,NA,221.0735586,503000000,-0.199592495,59562,NA
Andorra,AND,100,34.04255319,470,NA,NA,NA,3255789081,3.382416554,78867,37.60576622
Angola,AGO,28.21688461,47.40835807,1246700,52.0181532,8022529,106.5909621,36970918699,3.537557154,19433602,1.143366827
Antigua and Barbuda,ATG,92.2,22.27272771,440,NA,NA,120.1330801,1022191296,1.395564086,81465,27
Argentina,ARG,96.84909058,11.03011302,2736690,24.82874662,17549561,40.55127097,1.98737E+11,1.036281168,38892931,17.72058337
Armenia,ARM,99.8,11.66139796,28470,13.95102611,1307908,72.03895668,4900469950,-0.650321107,2981269,5.252983352
Aruba,ABW,100,2.33333326,180,24.18504314,NA,146.5004794,2330726257,1.30203884,100031,25.4
Australia,AUS,100,16.61494604,7682300,24.81799623,10554464,39.27118264,6.93408E+11,1.319789554,20394800,63
Austria,AUT,100,46.63356745,82580,26.84399959,4017205,94.03380568,3.15974E+11,0.681267248,8227829,58
Azerbaijan,AZE,99.31898499,10.61214629,82660,47.45697744,3888448,115.8418846,13245716099,1.022265592,8391850,8.030375356
"Bahamas, The",BHS,100,51.44855145,10010,30.81881214,175263,81.39627092,9836200000,1.853248287,324859,25
Bahrain,BHR,100,0.608108092,740,46.77073688,453393,148.313493,15968726862,6.904396412,889164,21.30373351
Bangladesh,BGD,44.23,11.17769071,130170,21.05571375,52170458,34.39693486,69442943089,1.484744774,139035505,0.241637326
Barbados,BRB,99.97779846,14.65116323,430,11.57339697,152587,95.66751341,3897300000,0.376717927,276323,52.5
Belarus,BLR,100,41.59148055,202830,27.22681662,4963330,118.8843517,30207567317,-0.68300556,9663915,NA
Belgium,BEL,100,22.2655222,30280,27.27548536,4616055,143.3762209,3.87366E+11,0.550055708,10478617,55.82
Belize,BLZ,84.57375336,62.10127266,22810,13.58790461,110924,117.3553923,1114202700,2.604447732,283800,17
Benin,BEN,27.03466225,42.66583895,112760,9.858710238,3186622,45.81656011,4803702821,2.952383516,7982225,1.271031439
Bermuda,BMU,100,18.51851819,54.00000095,NA,NA,NA,4868136000,0.649513649,64154,65.44706579
Bhutan,BTN,59.80811164,69.67101126,38116.99951,25.85020651,296022,102.698073,818869145.1,1.541558106,648739,3.847106745
Bolivia,BOL,68.288209,54.21766824,1083300,17.70796558,4262106,67.64194249,9549077869,1.784254998,9232306,5.227583957
Bosnia and Herzegovina,BIH,100,42.67578125,51200,-16.13353149,1514351,103.2648721,11222953519,0.030201109,3765331,21.326701
Botswana,BWA,37.45701218,21.07352708,566730,42.49251459,716616,88.50535206,9931134941,1.882508206,1799078,3.262554036
Brazil,BRA,97.093513,60.62760375,8358140,20.6057468,89784647,27.08679521,8.9163E+11,1.145880998,186127103,21.02274725
British Virgin Islands,VGB,NA,24.40000057,150,NA,NA,NA,NA,3.40254209,23107,NA
Brunei Darussalam,BRN,100,73.81404175,5270,59.13023728,176779,97.45761662,9531402848,1.568184375,365114,36.46639195
Bulgaria,BGR,100,33.60640648,108640,13.16584853,3333125,100.4968811,29636617750,-0.752977445,7658972,19.97
Burkina Faso,BFA,12.23582554,21.74342105,273600,8.048052946,5325133,35.53571955,5462709498,2.959187776,13421930,0.469914489
Burundi,BDI,3.207317073,7.048286604,25680,-4.5,3168049,35.1,1117113046,3.217165882,7364862,0.542142866
Cabo Verde,CPV,67,20.74193458,4030,NA,185374,104.3438399,971977088.2,1.395120105,463032,6.074087107
Cambodia,KHM,20.5,60.79197825,176520,9.90485616,6809224,136.8319301,6293046162,1.570923651,13273354,0.317321781
Cameroon,CMR,47.33861923,44.45854752,472710,20.18707583,8084403,50.9685648,17944084201,2.709802767,17733410,1.402654226
Canada,CAN,100,38.22242456,9093510,26.34309273,17695801,69.80885346,1.16936E+12,0.944466927,32243753,71.66
Cayman Islands,CYM,100,52.91666587,240,NA,NA,NA,2315972639,2.797543573,49261,38.03438308
Central African Republic,CAF,8.133627892,35.83742656,622980,1.742342107,1654183,35.07093687,1337362392,1.963165759,4038382,0.268195609
